state,county,netprice
Wisconsin,Green Lake County,56095.8075
Montana,Ravalli County,9359.5804
Virginia,Lee County,6246.2653
Minnesota,McLeod County,39127.3272
Mississippi,Perry County,2955.3163
Illinois,Stark County,7226.3408
Louisiana,Beauregard Parish,7572.7438
Tennessee,Smith County,15599.9435
Florida,Gadsden County,10404.4512
Tennessee,Stewart County,6544.0921
Kansas,Kiowa County,182291.6667
Virginia,Bath County,5746.8218
Louisiana,Terrebonne Parish,63529.0309
Virginia,Floyd County,5722.5791
Kansas,Marshall County,6782.8705
North Carolina,Graham County,16017.5185
Oklahoma,Cherokee County,14949.1366
Arizona,La Paz County,10534.0009
Ohio,Defiance County,3976.9108
Alabama,Calhoun County,23990.5754
Kentucky,Boyle County,39734.1043
Texas,Kleberg County,28619.2287
Wisconsin,Manitowoc County,21218.2192
South Carolina,Saluda County,9320.0069
Kansas,Leavenworth County,40374.8508
Indiana,Knox County,60279.1223
Pennsylvania,Lehigh County,56270.6999
North Carolina,Onslow County,67396.3548
Mississippi,Union County,6654.2273
North Carolina,Harnett County,28232.4912
Texas,Fayette County,15505.5801
Virginia,King George County,29769.4489
Wyoming,Teton County,306438.2526
Wisconsin,Sauk County,31201.2143
Illinois,Hancock County,6805.4119
Alabama,Geneva County,7155.2338
Illinois,White County,7748.5672
Virginia,Northampton County,16218.0295
Mississippi,Choctaw County,2981.4153
New York,Seneca County,33461.4629
Texas,Uvalde County,3809.0886
Idaho,Valley County,19847.3998
Michigan,Ogemaw County,19681.6104
Louisiana,Bienville Parish,3259.6029
Wisconsin,Pierce County,38188.8646
Oklahoma,Creek County,7302.7315
Iowa,Benton County,26897.2754
Oklahoma,Noble County,2424.4845
Minnesota,Dodge County,41383.2121
Missouri,Dade County,5823.1569
Virginia,Campbell County,14772.1943
Oklahoma,Jefferson County,2656.89
Missouri,McDonald County,6936.003
Wyoming,Johnson County,2889.4337
Texas,Montgomery County,22860.4904
Texas,Brown County,9311.1696
Oklahoma,Rogers County,25237.8811
South Dakota,Yankton County,122794.5423
Michigan,Schoolcraft County,6899.0124
North Dakota,Billings County,47354.6702
Alabama,Marshall County,17310.3026
Michigan,Huron County,33652.4018
Indiana,Benton County,17482.0591
Illinois,Calhoun County,5536.5665
Georgia,Meriwether County,7464.3528
Texas,Menard County,3354.9944
Iowa,Webster County,80500.3246
Mississippi,Walthall County,4248.1213
Texas,King County,1277.711
Oklahoma,Payne County,10297.9809
Florida,Gilchrist County,18739.1875
West Virginia,Roane County,2274.5777
New Mexico,Catron County,689.029
Arizona,Cochise County,4142.1096
Tennessee,Crockett County,21268.1894
Nebraska,Boyd County,2100.0
Missouri,Randolph County,5642.5937
Iowa,Mahaska County,18026.0003
Missouri,Iron County,3205.9059
South Dakota,Tripp County,3025.4545
Missouri,Clark County,6204.3839
Tennessee,Decatur County,4237.9454
Iowa,Warren County,29803.2312
Iowa,Howard County,19520.7016
New York,Tompkins County,43468.0427
North Dakota,LaMoure County,137407.4074
Georgia,Stewart County,2271.169
North Carolina,Mitchell County,13369.9841
Illinois,Jefferson County,10863.149
Montana,Garfield County,619.485
Mississippi,Jefferson Davis County,3522.1181
Kentucky,Calloway County,19904.507
Georgia,Chattahoochee County,2278.3349
Mississippi,Benton County,2946.212
South Dakota,Hutchinson County,7890.7737
Mississippi,Alcorn County,2711.5444
Oklahoma,Haskell County,5700.846
Missouri,Carroll County,7992.804
Virginia,Chesterfield County,159338.2109
Minnesota,Todd County,16835.1531
Michigan,Midland County,26203.6808
Tennessee,Williamson County,103546.5231
Texas,Wilson County,13697.1645
Mississippi,Grenada County,1714.5379
Iowa,Jasper County,35535.923
Texas,Jim Wells County,4925.7819
Pennsylvania,Washington County,32734.9294
Arkansas,Newton County,3966.0219
Kansas,Sedgwick County,86442.1618
Virginia,Tazewell County,10784.1141
Nebraska,McPherson County,1205.3571
Georgia,Lowndes County,29597.2809
North Dakota,Ransom County,671052.6316
Texas,Irion County,1456.9375
Georgia,Emanuel County,3544.2357
Ohio,Mahoning County,29959.4628
Mississippi,Wayne County,2432.4494
Indiana,Elkhart County,57610.5193
Georgia,Fayette County,82973.2539
Montana,Deer Lodge County,2657.4421
Louisiana,Claiborne Parish,4352.9468
Kansas,Sumner County,9622.0352
Missouri,Monroe County,7708.6651
Indiana,Henry County,28631.0116
South Dakota,Butte County,1136.5202
Iowa,Hardin County,42107.5867
South Carolina,Lee County,4140.8339
Iowa,Fayette County,93843.1777
Minnesota,Kanabec County,10550.5629
Louisiana,Winn Parish,4570.8896
Tennessee,Hardin County,5835.9942
Texas,Bell County,50670.3259
Alabama,Monroe County,2997.0617
Kansas,Harper County,2457.084
Tennessee,Polk County,18982.0973
Kentucky,Muhlenberg County,4353.8182
West Virginia,Wayne County,6986.14
Wyoming,Campbell County,47107.3469
Iowa,Calhoun County,233590.1926
Indiana,Howard County,54058.9245
North Carolina,Brunswick County,75496.1628
North Carolina,Rutherford County,12643.2421
Texas,Palo Pinto County,11886.7838
West Virginia,Webster County,2049.566
North Dakota,Grant County,83823.4891
Maryland,Garrett County,33024.0301
Kansas,Cowley County,3517.816
Virginia,Newport News City County,343694.0072
Idaho,Washington County,3916.2186
West Virginia,Jackson County,3051.8799
Arkansas,White County,8814.2224
California,Riverside County,21008.4034
Nebraska,Pierce County,12135.1327
Illinois,Hamilton County,7491.581
Kentucky,Monroe County,5564.4993
Minnesota,Crow Wing County,47165.9321
Georgia,Chatham County,280348.4824
Maryland,Carroll County,92474.2617
Montana,McCone County,742.5658
Tennessee,Cheatham County,35737.0644
Iowa,Van Buren County,5658.3886
Nebraska,Dodge County,11148.3621
Nebraska,York County,27990.3086
Arkansas,Fulton County,4191.1131
Montana,Fergus County,2401.7141
Kansas,Logan County,525000.0
Tennessee,Meigs County,8356.9185
Florida,Lafayette County,5872.8392
New York,Sullivan County,16178.9968
New York,Washington County,15569.8356
New Mexico,Sierra County,299.8944
Kentucky,Harrison County,6990.8039
Ohio,Cuyahoga County,126832.4695
Oklahoma,Johnston County,6144.9774
Iowa,Wapello County,8754.4329
Michigan,Charlevoix County,22109.6987
Georgia,Stephens County,18523.2611
Louisiana,Ascension Parish,322264.5632
Minnesota,Clay County,14242.9087
West Virginia,Taylor County,8518.4312
Texas,Pecos County,2095.2081
Michigan,Lake County,17166.7014
North Dakota,Williams County,365189.5735
Montana,Musselshell County,1073.7657
Texas,Kimble County,5895.0092
New York,Saint Lawrence County,3893.0411
Georgia,Banks County,11808.1457
Illinois,Mason County,10724.7471
Montana,Rosebud County,587.8212
Virginia,Appomattox County,9798.1786
Idaho,Cassia County,3007.1942
Colorado,Alamosa County,4173.9903
Texas,Newton County,3601.8989
Mississippi,Tunica County,4531.785
New Mexico,Hidalgo County,2227.9403
Missouri,Douglas County,3599.7253
Minnesota,Carver County,87113.3675
New York,Franklin County,7023.982
Alabama,Covington County,6800.4223
Virginia,Manassas City County,213254.0626
Michigan,Iron County,3884.4984
Georgia,Douglas County,47392.6206
Wisconsin,Winnebago County,52423.0062
North Carolina,Craven County,54004.8039
Maryland,Montgomery County,112023.3058
